Age,Gender,MaritalStatus,AnnualIncome,EducationLevel,NumberOfDependents,Target_BoughtInsurance,Target_InsuranceType
72,Male,Widowed,110760.62,Bachelor,0,1,A&H
43,Male,Married,170272.78,PhD,1,1,Life
34,Female,Divorced,78538.11,Bachelor,2,1,Life
27,Male,Divorced,51844.15,Associate,0,1,FSA
48,Female,Married,93544.06,Associate,3,1,Life
31,Female,Married,54699.79,High School,4,1,FSA
37,Male,Single,94924.28,Master,0,1,FSA
45,Male,Married,61461.36,High School,4,1,Life
60,Male,Widowed,80649.12,Bachelor,0,1,FSA
45,Male,Married,138161.09,PhD,2,1,FSA
52,Male,Married,115742.59,Bachelor,2,1,FSA
45,Female,Married,169424.83,PhD,3,1,Life
46,Male,Single,54155.13,Associate,0,0,No_Insurance
46,Male,Married,41227.63,High School,2,1,Life
31,Male,Married,44015.01,High School,2,1,A&H
25,Female,Divorced,147898.04,PhD,0,1,FSA
51,Male,Married,87767.97,Bachelor,2,1,A&H
55,Male,Married,115336.71,Bachelor,4,1,Life
47,Male,Single,114682.74,PhD,0,1,FSA
29,Male,Married,135624.75,Master,2,1,FSA
30,Male,Married,131648.6,Master,3,1,A&H
42,Female,Divorced,68216.86,Associate,0,1,FSA
62,Female,Married,65092.93,High School,0,1,A&H
27,Female,Married,48627.89,High School,1,0,No_Insurance
48,Male,Divorced,81764.71,High School,2,1,Life
48,Male,Married,166318.61,Master,1,1,FSA
40,Male,Married,46574.27,High School,4,1,Life
35,Male,Married,110844.52,PhD,1,1,FSA
53,Male,Married,101648.13,Associate,4,1,A&H
29,Male,Married,144930.75,PhD,1,0,No_Insurance
44,Male,Single,116676.2,PhD,1,1,FSA
47,Female,Married,142311.74,Master,3,1,FSA
49,Male,Married,66805.4,Associate,1,1,Life
49,Male,Married,159709.37,Master,3,1,FSA
49,Female,Married,74267.37,Associate,4,1,Life
49,Male,Married,74103.64,High School,2,1,Life
57,Male,Married,101606.69,Other,0,1,A&H
31,Female,Married,77998.6,Bachelor,2,1,Life
38,Male,Divorced,50270.01,High School,0,1,FSA
51,Female,Married,46599.22,High School,2,1,Life
19,Female,Married,71701.11,Bachelor,0,1,FSA
42,Male,Married,76569.92,Associate,1,1,Life
26,Male,Single,48394.59,Associate,0,1,A&H
42,Female,Married,90373.66,Bachelor,1,1,A&H
32,Female,Married,86753.35,Bachelor,2,0,No_Insurance
18,Female,Single,69114.67,Bachelor,0,0,No_Insurance
44,Female,Divorced,86827.54,Bachelor,0,1,Life
49,Male,Married,69235.95,Associate,3,1,Life
54,Female,Married,79493.48,Bachelor,1,1,Life
66,Female,Widowed,165720.9,Master,1,1,A&H
47,Male,Married,92777.91,Associate,3,1,Life
71,Male,Widowed,147666.8,Master,0,1,A&H
56,Male,Single,123963.02,Master,0,1,FSA
48,Female,Married,93904.87,Bachelor,2,1,Life
52,Male,Married,131351.69,Master,2,1,FSA
38,Male,Divorced,136074.51,PhD,1,1,FSA
24,Female,Single,36855.01,High School,0,1,Life
62,Female,Married,81860.8,High School,1,1,A&H
21,Female,Single,33207.05,High School,0,1,FSA
44,Female,Divorced,105053.17,PhD,0,1,FSA
33,Female,Married,139890.6,Master,4,1,A&H
64,Female,Widowed,112489.63,Bachelor,1,1,A&H
24,Female,Single,125302.14,Master,0,1,FSA
45,Female,Married,65535.32,Bachelor,1,1,Life
33,Female,Married,65862.05,Associate,1,1,Life
33,Male,Married,39918.48,Associate,1,1,A&H
53,Female,Married,110605.22,Bachelor,2,1,FSA
53,Male,Married,113972.87,Master,3,1,Life
50,Male,Married,151218.1,Master,2,1,FSA
41,Female,Divorced,108142.47,Master,2,1,FSA
43,Female,Married,79777.81,Bachelor,3,1,FSA
38,Male,Married,96823.17,Bachelor,2,1,A&H
57,Female,Married,61620.5,Associate,0,1,FSA
60,Male,Widowed,125114.3,Master,2,1,FSA
42,Female,Married,81490.57,Bachelor,1,1,Life
46,Female,Married,80013.91,High School,1,1,Life
40,Female,Married,67851.79,Associate,2,1,Life
27,Female,Divorced,51279.42,Associate,0,1,FSA
25,Male,Married,79510.28,Bachelor,0,1,FSA
41,Male,Married,61148.05,Bachelor,3,1,Life
29,Male,Married,129362.95,PhD,1,1,FSA
30,Male,Married,31523.71,High School,1,1,FSA
37,Male,Married,88128.16,Bachelor,2,1,Life
45,Male,Married,88159.66,Master,2,1,FSA
34,Male,Married,160284.39,PhD,4,1,Life
21,Female,Single,46443.92,Associate,0,0,No_Insurance
22,Male,Single,83134.0,Bachelor,0,0,No_Insurance
31,Male,Married,50506.52,High School,4,1,Life
39,Male,Married,109864.49,Master,1,1,FSA
41,Female,Single,58476.47,Bachelor,0,1,FSA
27,Male,Married,70835.7,Master,0,1,Life
46,Female,Married,108289.7,Bachelor,3,1,Life
30,Female,Married,54116.72,High School,3,1,Life
51,Female,Married,81026.52,Bachelor,2,0,No_Insurance
36,Female,Married,75526.97,Master,1,0,No_Insurance
45,Male,Married,88244.6,Master,3,1,Life
42,Female,Divorced,74163.93,High School,0,1,FSA
62,Female,Widowed,87359.74,Associate,1,1,A&H
55,Female,Married,110236.59,Bachelor,1,1,FSA
72,Male,Divorced,133946.19,Master,1,1,A&H
30,Female,Married,71106.47,Bachelor,3,1,Life
31,Male,Married,67168.91,Associate,1,0,No_Insurance
44,Female,Married,102467.08,Bachelor,2,1,A&H
55,Female,Married,91278.73,Associate,2,1,Life
33,Male,Married,57518.91,High School,1,1,FSA
23,Male,Single,41940.21,High School,0,0,No_Insurance
67,Female,Widowed,105211.71,Master,0,1,Life
58,Female,Married,108505.28,Other,0,1,A&H
35,Female,Single,50661.47,High School,0,1,FSA
40,Male,Divorced,58828.19,Associate,0,1,FSA
59,Male,Married,77052.03,Bachelor,0,1,FSA
42,Male,Married,103768.8,Bachelor,2,1,FSA
42,Male,Divorced,80015.75,Associate,0,1,A&H
27,Female,Married,48968.52,High School,0,1,FSA
40,Male,Divorced,95809.57,Master,0,1,FSA
20,Male,Single,21358.03,High School,0,0,No_Insurance
59,Male,Married,142817.71,Master,2,1,FSA
58,Female,Married,87993.12,Associate,0,1,A&H
42,Male,Married,188903.95,PhD,1,1,FSA
51,Male,Married,77058.49,High School,1,1,Life
61,Male,Widowed,84796.04,Bachelor,0,1,Life
56,Male,Married,68804.7,High School,1,1,Life
18,Male,Single,153284.77,PhD,0,1,FSA
63,Male,Widowed,106556.21,Bachelor,0,1,A&H
43,Female,Single,149920.28,Master,0,0,No_Insurance
18,Female,Single,56176.73,Bachelor,0,0,No_Insurance
41,Female,Married,86303.18,Bachelor,2,1,Life
23,Female,Single,91125.62,PhD,0,1,A&H
51,Male,Divorced,74699.2,Bachelor,1,1,Life
47,Female,Married,49473.5,High School,3,1,Life
28,Male,Married,55765.58,Other,2,1,Life
28,Male,Married,80956.42,Master,2,1,Life
49,Female,Married,50895.43,High School,3,1,Life
40,Female,Married,47626.06,Other,2,1,Life
27,Female,Divorced,69247.4,Bachelor,0,1,FSA
32,Female,Married,94166.06,Bachelor,3,1,FSA
44,Male,Married,64025.44,Bachelor,2,1,Life
50,Female,Married,102318.93,Master,1,1,Life
52,Female,Married,91903.86,Bachelor,2,1,Life
20,Female,Single,58764.64,Bachelor,0,0,No_Insurance
61,Male,Married,61392.38,Associate,0,1,A&H
50,Female,Divorced,67088.24,High School,0,1,Life
46,Male,Married,91917.42,Master,1,1,Life
19,Female,Married,23277.92,High School,2,0,No_Insurance
44,Female,Married,104394.09,PhD,1,1,FSA
32,Female,Married,56279.24,Bachelor,3,1,FSA
26,Female,Married,38596.81,High School,0,1,FSA
41,Male,Married,85671.06,Master,3,1,Life
62,Female,Widowed,95305.68,Associate,0,1,A&H
27,Male,Married,39360.57,Associate,0,1,FSA
39,Female,Married,126966.06,Master,2,1,FSA
22,Female,Single,46120.61,Bachelor,0,1,FSA
49,Female,Divorced,132744.34,PhD,2,1,Life
33,Male,Married,59959.39,Bachelor,3,1,FSA
29,Male,Married,34934.76,Associate,4,1,Life
45,Female,Married,50909.14,Associate,3,1,Life
41,Male,Single,113874.78,Bachelor,0,1,FSA
33,Male,Married,84421.0,Master,2,1,A&H
52,Female,Single,88867.06,High School,1,1,Life
18,Male,Single,30966.13,High School,0,1,FSA
49,Female,Married,65045.6,Associate,3,1,Life
19,Female,Single,67269.25,Master,0,0,No_Insurance
42,Female,Married,129713.55,PhD,4,1,FSA
41,Female,Single,120798.7,Master,0,1,A&H
25,Female,Married,35927.92,Other,0,1,A&H
56,Male,Married,114699.25,Master,0,1,FSA
33,Male,Divorced,89947.64,Bachelor,0,1,A&H
18,Female,Single,31158.86,Associate,0,0,No_Insurance
30,Male,Married,88931.49,Bachelor,3,0,No_Insurance
47,Male,Married,81138.93,High School,2,1,Life
33,Male,Married,54497.96,Bachelor,1,1,FSA
58,Female,Married,82177.59,Bachelor,1,1,A&H
45,Female,Married,123983.91,PhD,1,1,Life
47,Female,Divorced,174612.58,PhD,0,1,FSA
36,Female,Married,72860.49,Bachelor,2,1,FSA
58,Female,Single,133983.46,Master,0,1,FSA
36,Female,Divorced,78428.89,Bachelor,0,1,A&H
42,Female,Married,53305.52,Associate,3,1,FSA
65,Male,Widowed,166039.27,PhD,1,1,FSA
45,Female,Married,91786.68,Master,3,1,FSA
52,Male,Married,109154.1,Bachelor,3,1,Life
46,Male,Divorced,100476.91,Bachelor,0,1,FSA
36,Female,Single,141322.26,Master,0,1,FSA
35,Female,Single,92113.53,Master,0,1,FSA
30,Female,Married,34292.61,Associate,1,1,Life
48,Female,Divorced,85490.61,Bachelor,1,1,A&H
46,Female,Divorced,115527.91,PhD,2,1,FSA
38,Female,Married,137133.64,Master,1,1,Life
28,Male,Divorced,31837.61,High School,1,1,FSA
54,Female,Married,86797.92,Other,2,1,Life
60,Female,Widowed,66069.95,High School,0,1,A&H
18,Female,Single,56287.22,Bachelor,0,0,No_Insurance
62,Female,Married,62811.52,High School,0,1,A&H
76,Female,Married,131560.2,PhD,0,1,FSA
43,Female,Married,196110.01,PhD,2,1,FSA
48,Male,Single,72899.09,High School,2,1,Life
45,Male,Divorced,63335.27,High School,0,1,FSA
64,Female,Widowed,149217.07,Bachelor,1,1,FSA
34,Male,Married,105824.22,Master,4,1,Life
42,Female,Married,59927.43,High School,1,1,Life
57,Female,Married,53012.32,High School,0,1,A&H
27,Female,Married,38527.13,High School,2,0,No_Insurance
18,Female,Single,23561.05,High School,0,0,No_Insurance
37,Male,Married,40975.28,High School,4,1,Life
65,Male,Widowed,65006.03,High School,0,1,Life
18,Male,Single,113933.33,Master,0,1,FSA
41,Male,Divorced,67048.56,Associate,2,1,Life
38,Female,Single,82812.18,Master,0,0,No_Insurance
26,Male,Married,36383.16,High School,1,1,FSA
42,Male,Single,45565.04,High School,1,1,FSA
41,Male,Married,94989.11,Master,3,1,Life
41,Male,Married,90479.11,Bachelor,3,1,Life
34,Female,Divorced,92220.9,Bachelor,0,1,A&H
18,Female,Single,53929.38,Bachelor,0,0,No_Insurance
57,Female,Single,58062.37,High School,0,1,A&H
22,Male,Single,34293.83,High School,0,0,No_Insurance
31,Female,Married,34883.64,Associate,2,1,Life
55,Female,Married,49896.32,High School,4,1,Life
59,Male,Divorced,89794.6,Bachelor,0,1,A&H
34,Female,Married,60391.34,Associate,2,1,Life
48,Female,Married,70034.42,Bachelor,1,1,Life
51,Female,Married,82762.54,High School,1,1,Life
48,Male,Married,141286.81,Master,1,1,Life
50,Male,Married,66230.07,Bachelor,2,1,Life
37,Male,Divorced,65781.49,Bachelor,2,1,Life
46,Female,Married,118006.67,Master,4,1,FSA
24,Female,Single,51142.86,Associate,0,0,No_Insurance
32,Male,Married,46532.03,High School,3,1,Life
22,Female,Single,102094.0,Master,0,1,FSA
18,Male,Single,77020.71,Master,0,0,No_Insurance
65,Male,Widowed,137525.98,Bachelor,0,1,A&H
41,Male,Married,69757.41,High School,2,1,FSA
57,Female,Married,79612.43,Associate,0,1,Life
46,Female,Married,67005.28,High School,4,1,Life
18,Male,Single,67791.69,Master,0,0,No_Insurance
42,Female,Married,68730.71,Bachelor,2,1,Life
46,Female,Married,84546.79,Master,1,1,FSA
44,Male,Married,50121.33,High School,1,1,Life
28,Male,Married,52019.74,Associate,2,1,FSA
45,Female,Married,97919.62,Bachelor,2,1,A&H
55,Female,Married,81782.33,Bachelor,3,1,FSA
18,Female,Single,58478.33,Bachelor,0,1,Life
24,Male,Single,32819.21,Associate,0,0,No_Insurance
44,Male,Divorced,48992.03,High School,1,1,A&H
31,Female,Single,43841.36,Associate,0,1,FSA
28,Female,Married,40569.88,High School,3,1,Life
56,Female,Divorced,82218.63,High School,0,0,No_Insurance
29,Male,Single,49228.68,Bachelor,0,1,A&H
51,Female,Married,105626.06,Bachelor,2,1,Life
77,Male,Widowed,117493.52,Bachelor,0,1,FSA
40,Female,Divorced,86292.53,Master,0,1,Life
41,Male,Married,62166.98,High School,2,1,Life
66,Female,Widowed,124415.85,Master,0,1,FSA
50,Male,Married,56457.8,High School,2,1,Life
55,Male,Married,151857.47,PhD,3,1,Life
40,Male,Single,42641.08,High School,0,1,A&H
50,Male,Married,161785.06,Master,1,1,FSA
49,Female,Married,109219.53,Bachelor,2,1,FSA
57,Female,Married,115294.37,Master,0,1,FSA
48,Male,Married,75202.65,Bachelor,3,1,Life
44,Male,Single,86082.04,Associate,0,1,Life
26,Male,Married,46608.88,High School,0,0,No_Insurance
56,Male,Married,136915.25,Bachelor,0,1,A&H
42,Male,Married,77378.43,Bachelor,3,1,FSA
42,Female,Married,60830.87,Bachelor,4,1,Life
35,Female,Divorced,34225.57,High School,0,1,FSA
37,Male,Married,72969.59,Bachelor,1,1,A&H
39,Female,Married,59485.94,Other,3,1,A&H
35,Female,Married,49294.97,Associate,2,1,Life
45,Female,Single,75432.46,Bachelor,0,1,Life
54,Female,Married,89278.52,High School,2,1,Life
43,Male,Married,85512.89,Associate,1,1,FSA
56,Female,Married,109926.33,Associate,0,1,A&H
34,Male,Divorced,76864.74,Bachelor,0,1,FSA
61,Female,Widowed,179161.01,Master,1,0,No_Insurance
35,Male,Married,75019.22,Bachelor,2,1,A&H
62,Female,Widowed,74400.96,Associate,0,1,Life
23,Female,Married,28129.89,High School,0,0,No_Insurance
29,Female,Single,71633.49,Master,0,1,Life
41,Male,Divorced,80041.77,Bachelor,0,1,FSA
45,Male,Married,48949.44,High School,3,0,No_Insurance
55,Male,Single,176153.83,Master,0,1,FSA
39,Male,Married,62342.22,Other,3,1,Life
44,Female,Married,63248.37,High School,4,1,Life
48,Female,Married,130081.8,PhD,3,1,Life
33,Female,Married,90936.77,Bachelor,2,1,Life
34,Female,Married,36432.1,Other,3,0,No_Insurance
61,Male,Married,162173.49,Master,0,1,A&H
34,Female,Single,94314.37,Bachelor,0,1,A&H
44,Male,Married,71586.72,Associate,2,1,Life
20,Male,Single,66777.16,Master,0,0,No_Insurance
33,Male,Divorced,136178.74,Master,2,1,FSA
36,Female,Married,60742.6,High School,1,1,FSA
51,Male,Single,55240.67,Associate,2,1,Life
70,Female,Married,141634.0,Master,0,1,A&H
41,Female,Single,62506.09,Bachelor,1,1,Life
67,Female,Widowed,134088.39,Bachelor,0,1,A&H
41,Male,Married,116699.83,Master,3,1,A&H
58,Male,Married,169877.8,Master,0,1,A&H
51,Male,Married,83902.61,Bachelor,2,1,A&H
67,Male,Divorced,180928.9,Master,0,1,FSA
53,Male,Married,150905.21,Master,1,1,FSA
49,Female,Married,70474.34,High School,3,1,Life
39,Male,Married,74953.57,Bachelor,4,1,Life
44,Male,Married,52164.55,Associate,3,1,FSA
42,Female,Single,43536.25,Associate,1,1,Life
59,Male,Married,151894.11,Master,0,0,No_Insurance
22,Male,Single,43235.79,Associate,0,0,No_Insurance
52,Male,Married,156733.19,Master,4,1,Life
45,Female,Married,120095.85,Bachelor,1,1,A&H
64,Female,Married,91655.39,High School,1,1,FSA
35,Male,Married,48630.02,Associate,2,1,A&H
44,Female,Married,47966.74,Associate,1,1,Life
58,Female,Single,97358.58,Master,0,1,FSA
20,Female,Single,37851.52,High School,0,0,No_Insurance
34,Female,Divorced,128247.72,Master,0,1,Life
47,Male,Married,64250.69,Bachelor,4,1,Life
63,Female,Widowed,163784.64,Master,0,1,FSA
41,Male,Married,73641.09,Bachelor,1,0,No_Insurance
21,Female,Single,29812.04,Associate,0,0,No_Insurance
18,Female,Single,29639.44,High School,0,0,No_Insurance
45,Female,Divorced,66478.26,High School,0,1,A&H
34,Female,Married,101327.85,Bachelor,1,1,Life
51,Female,Married,72150.54,Associate,3,1,Life
40,Male,Married,50285.45,High School,3,1,Life
41,Male,Married,69740.73,High School,3,1,Life
45,Female,Married,55535.93,Associate,3,1,Life
24,Female,Single,159477.2,PhD,0,1,FSA
62,Male,Widowed,148519.88,Bachelor,0,1,A&H
46,Female,Single,72643.21,High School,1,1,FSA
48,Female,Divorced,112177.23,Bachelor,0,1,FSA
44,Female,Married,146130.34,Master,3,1,Life
51,Female,Single,50524.68,High School,0,1,Life
32,Female,Married,39329.19,Other,4,1,Life
67,Female,Widowed,84774.88,Bachelor,0,1,A&H
53,Female,Divorced,144008.78,PhD,1,1,FSA
32,Male,Married,72088.08,Master,1,1,Life
35,Male,Married,50848.65,High School,2,1,Life
18,Female,Married,65256.8,Bachelor,0,0,No_Insurance
28,Male,Married,32168.97,High School,3,0,No_Insurance
41,Female,Married,66059.09,Bachelor,3,1,Life
63,Male,Married,86248.57,High School,0,1,Life
54,Female,Married,91180.95,Bachelor,4,1,Life
38,Male,Single,78833.4,Master,0,1,Life
32,Male,Married,99544.75,Master,2,1,Life
67,Male,Widowed,115705.7,Associate,0,1,A&H
50,Female,Married,100847.15,Master,3,1,Life
61,Female,Married,55313.65,High School,0,0,No_Insurance
54,Male,Married,72312.51,Bachelor,1,1,Life
51,Female,Married,149502.66,Master,3,1,FSA
47,Male,Divorced,56069.39,High School,1,1,FSA
60,Female,Widowed,107152.04,Bachelor,0,1,A&H
44,Male,Married,92103.14,Bachelor,2,1,A&H
32,Female,Married,94075.84,Bachelor,3,1,Life
35,Female,Married,104286.17,Bachelor,1,1,A&H
49,Female,Married,72220.14,High School,2,1,Life
33,Female,Divorced,112141.71,Master,2,1,FSA
42,Male,Married,95555.55,Master,1,1,FSA
43,Male,Married,47283.95,Associate,1,1,Life
38,Female,Divorced,181782.91,PhD,0,1,FSA
18,Male,Single,103691.04,Master,0,1,FSA
24,Male,Single,128282.9,Master,0,1,A&H
21,Female,Single,115793.29,Master,0,0,No_Insurance
65,Female,Widowed,115930.44,Bachelor,0,1,FSA
35,Female,Married,60404.31,High School,2,1,Life
51,Female,Single,97186.31,Associate,0,1,Life
19,Male,Single,132012.1,PhD,0,1,FSA
33,Female,Married,61254.95,Associate,2,1,FSA
47,Male,Married,55987.76,Associate,2,1,Life
41,Female,Married,98306.75,Master,4,1,FSA
58,Male,Single,73855.1,High School,0,1,A&H
58,Female,Married,83890.07,Bachelor,0,1,A&H
18,Female,Single,75822.37,Bachelor,0,1,FSA
23,Male,Single,112970.24,Master,0,1,A&H
58,Male,Married,142024.1,Bachelor,0,1,A&H
43,Female,Divorced,51474.62,High School,1,1,FSA
24,Female,Single,62300.84,Bachelor,0,1,FSA
63,Female,Married,113553.18,Master,1,1,A&H
53,Female,Single,54425.25,Associate,0,1,FSA
37,Male,Married,100433.52,Bachelor,3,1,FSA
71,Male,Widowed,164908.56,Master,0,1,FSA
38,Female,Married,43552.41,High School,1,1,Life
39,Male,Married,53805.3,High School,2,0,No_Insurance
52,Female,Married,88261.43,Bachelor,3,1,Life
40,Female,Married,81221.85,Master,1,1,Life
54,Male,Divorced,99998.82,Bachelor,0,1,A&H
46,Female,Married,69410.03,Associate,4,1,Life
57,Female,Married,85644.08,Bachelor,1,1,A&H
27,Female,Married,90734.15,Bachelor,0,1,Life
33,Male,Divorced,173924.04,PhD,1,1,A&H
68,Male,Divorced,136256.39,Bachelor,0,1,FSA
44,Female,Married,67283.03,Associate,2,1,Life
47,Female,Divorced,156726.37,Master,1,1,FSA
57,Female,Divorced,61099.83,High School,0,1,A&H
58,Female,Married,100497.62,Bachelor,0,1,A&H
46,Female,Married,207979.02,PhD,1,1,Life
31,Male,Married,56191.29,High School,2,1,Life
46,Male,Married,64279.01,High School,3,1,Life
47,Male,Single,118083.49,Bachelor,2,1,Life
58,Male,Divorced,130345.69,Bachelor,1,1,FSA
24,Female,Single,78276.81,Bachelor,0,0,No_Insurance
39,Female,Married,62922.49,Associate,4,1,Life
43,Male,Married,78812.86,Bachelor,3,1,Life
64,Male,Married,165432.81,PhD,1,1,FSA
30,Male,Single,112096.75,PhD,0,1,FSA
64,Female,Married,158936.78,Master,1,1,FSA
56,Female,Single,126140.02,Master,0,1,FSA
18,Male,Single,82564.19,PhD,0,1,FSA
74,Female,Married,176030.15,PhD,0,1,FSA
56,Female,Single,79462.67,High School,0,1,A&H
76,Female,Widowed,158128.62,Bachelor,0,1,FSA
52,Female,Married,109501.05,Master,3,1,FSA
45,Male,Married,64867.16,Bachelor,2,1,FSA
31,Female,Single,73431.78,Bachelor,0,1,A&H
38,Male,Single,44071.14,High School,0,1,A&H
44,Female,Single,134199.23,PhD,0,1,FSA
61,Female,Widowed,164098.33,Master,0,1,A&H
28,Male,Married,37206.2,Associate,1,1,FSA
38,Female,Married,47139.39,Associate,2,1,Life
33,Female,Married,80089.65,Bachelor,4,1,Life
46,Female,Married,121740.72,Bachelor,1,1,Life
45,Male,Divorced,63835.98,Bachelor,0,1,FSA
61,Female,Widowed,186593.19,Master,1,1,FSA
42,Male,Married,72039.16,Bachelor,3,1,Life
42,Female,Married,94500.14,Bachelor,4,1,Life
24,Male,Single,40133.05,High School,0,0,No_Insurance
32,Male,Single,91604.6,Bachelor,0,1,A&H
32,Female,Married,115716.22,Master,3,1,Life
45,Female,Married,63749.93,High School,3,1,Life
50,Female,Married,53998.91,High School,2,1,Life
47,Female,Married,64345.92,Bachelor,1,1,Life
55,Female,Married,111589.77,Master,2,1,A&H
72,Female,Widowed,167196.79,Master,0,1,FSA
30,Male,Married,44388.44,Other,2,1,A&H
64,Male,Widowed,166095.68,Master,2,0,No_Insurance
49,Female,Divorced,62612.26,Associate,0,1,Life
64,Female,Widowed,67028.54,Associate,0,1,FSA
33,Male,Married,62682.14,Bachelor,1,1,Life
27,Female,Married,49257.66,Bachelor,0,1,FSA
45,Male,Divorced,154504.9,Master,0,1,FSA
20,Female,Single,61594.24,Bachelor,0,0,No_Insurance
59,Male,Married,145452.53,Bachelor,0,1,A&H
25,Male,Married,36420.98,High School,0,1,FSA
32,Male,Single,45712.8,High School,0,0,No_Insurance
41,Female,Married,67956.02,Bachelor,1,1,A&H
44,Male,Married,66173.46,Bachelor,1,1,Life
22,Male,Married,36633.57,High School,0,0,No_Insurance
57,Female,Married,137330.69,Bachelor,1,1,A&H
50,Male,Single,69937.81,Associate,0,1,Life
58,Male,Married,109661.07,Bachelor,0,1,A&H
43,Male,Married,64802.9,Bachelor,2,1,A&H
43,Female,Married,180875.85,PhD,3,1,FSA
39,Female,Married,58170.04,Bachelor,2,1,Life
30,Male,Married,75678.18,Master,3,1,FSA
23,Female,Single,98977.2,Master,0,1,FSA
26,Female,Married,139603.84,PhD,2,1,FSA
18,Male,Single,44337.95,Associate,0,0,No_Insurance
43,Female,Divorced,82147.09,Bachelor,1,1,FSA
40,Male,Married,106441.87,Bachelor,1,1,FSA
32,Male,Married,77026.31,Master,3,1,Life
55,Male,Divorced,81653.84,Bachelor,0,1,A&H
42,Male,Married,61799.01,High School,3,1,FSA
41,Female,Married,113048.61,PhD,3,1,FSA
41,Female,Married,160336.17,PhD,3,1,FSA
53,Female,Married,79771.54,Bachelor,2,1,Life
27,Female,Married,62988.64,Bachelor,0,1,Life
37,Female,Married,77407.77,Master,1,1,Life
42,Male,Married,115315.13,Bachelor,1,1,A&H
49,Female,Married,64462.64,Associate,1,1,Life
28,Male,Married,76954.75,Bachelor,3,1,Life
39,Female,Married,124935.01,Master,3,1,FSA
39,Female,Married,37183.88,High School,1,0,No_Insurance
62,Female,Widowed,57606.73,High School,2,1,A&H
33,Male,Single,122004.83,Master,0,1,A&H
37,Male,Married,113900.99,Master,3,0,No_Insurance
48,Male,Married,55777.03,High School,2,1,Life
58,Female,Single,110099.69,Bachelor,0,1,A&H
22,Female,Single,28531.46,High School,0,0,No_Insurance
38,Female,Married,101062.85,Bachelor,2,1,FSA
33,Female,Divorced,73483.76,Master,0,1,FSA
18,Male,Single,67771.16,Bachelor,0,1,Life
21,Female,Single,62771.73,Master,0,1,FSA
44,Female,Divorced,77730.87,High School,0,1,FSA
41,Male,Married,47075.01,Associate,1,1,Life
50,Male,Married,64545.27,High School,2,1,A&H
41,Male,Married,66495.81,Bachelor,1,1,Life
28,Female,Married,81482.05,Bachelor,4,1,Life
22,Male,Single,122389.21,PhD,0,0,No_Insurance
19,Male,Single,34700.83,High School,0,0,No_Insurance
32,Female,Divorced,58848.38,Associate,0,1,FSA
56,Female,Married,141050.07,PhD,0,1,FSA
72,Female,Married,104306.99,High School,0,1,FSA
33,Female,Married,152373.95,PhD,2,1,FSA
42,Female,Married,67468.91,Bachelor,2,1,A&H
31,Male,Married,106490.67,Master,1,1,FSA
36,Female,Married,34944.39,High School,3,1,Life
44,Female,Married,118055.29,Bachelor,2,1,FSA
